attraction_id,attraction_name,city,category,entry_fee_foreigner_npr,entry_fee_saarc_npr,avg_visit_duration_min,popularity_score
1,Pashupatinath Temple,Kathmandu,Religious Sites,500,250,96,0.9901428612819833
2,Swayambhunath (Monkey Temple),Kathmandu,Religious Sites,500,250,116,0.9197316968394074
3,Boudhanath Stupa,Kathmandu,Religious Sites,500,250,119,0.8918497783931735
4,Kathmandu Durbar Square,Kathmandu,Religious Sites,1000,500,236,0.9202230023486417
5,Changunarayan Temple,Kathmandu,Religious Sites,500,250,66,0.4225646316108401
6,Budhanilkantha Temple,Kathmandu,Religious Sites,200,100,82,0.4003115063364058
7,Thamel Market,Kathmandu,Cultural Sites,0,0,62,0.5216968971838152
8,Asan Bazaar,Kathmandu,Cultural Sites,300,150,73,0.4092249700165663
9,Garden of Dreams,Kathmandu,Cultural Sites,500,250,88,0.5599443886861022
10,National Museum,Kathmandu,Cultural Sites,500,250,76,0.6473544037332349
11,Patan Museum,Kathmandu,Cultural Sites,500,250,81,0.636965827544817
12,Narayanhiti Palace Museum,Kathmandu,Cultural Sites,500,250,66,0.6430179407605754
13,Cooking Class,Kathmandu,Activities,2568,1797,192,0.3195154778955838
14,Yoga Session,Kathmandu,Activities,2935,2054,208,0.5896896099223679
15,Meditation Center,Kathmandu,Activities,741,518,128,0.30478987566606425
16,Mountain Flight,Kathmandu,Activities,1863,1304,211,0.43204574812188035
17,Street Food Tour,Kathmandu,Activities,1978,1384,291,0.44855307303338104
18,Photography Tour,Kathmandu,Activities,534,373,200,0.37763399448000506
19,Rickshaw Ride,Kathmandu,Activities,1521,1064,253,0.36238249886045665
20,Patan Durbar Square,Patan,Religious Sites,1000,500,123,0.8369708911051055
21,Golden Temple (Hiranya Varna Mahavihar),Patan,Religious Sites,500,250,62,0.7100531293444459
22,Mahaboudha Temple,Patan,Religious Sites,200,100,118,0.7579309401710596
23,Kumbeshwar Temple,Patan,Religious Sites,200,100,92,0.5306163075223342
24,Rudra Varna Mahavihar,Patan,Religious Sites,200,100,106,0.5301321323053058
25,Patan Museum,Patan,Cultural Sites,0,0,47,0.615876852955632
26,Handicraft Workshops,Patan,Cultural Sites,300,150,54,0.5123738038749523
27,Tibetan Refugee Camp,Patan,Cultural Sites,0,0,70,0.518509402281633
28,Traditional Newari Houses,Patan,Cultural Sites,0,0,30,0.4062545626964776
29,Art Galleries,Patan,Cultural Sites,0,0,53,0.5579526072702279
30,Craft Workshop,Patan,Activities,1995,1396,182,0.5446384285364503
31,Heritage Walk,Patan,Activities,891,623,282,0.5370526621593616
32,Traditional Dance Show,Patan,Activities,878,614,124,0.5778902635540046
33,Pottery Making,Patan,Activities,2588,1811,147,0.558931027762678
34,Thangka Painting Class,Patan,Activities,2363,1654,131,0.39926940745579476
35,Bhaktapur Durbar Square,Bhaktapur,Religious Sites,1000,500,167,0.8741636504396533
36,Nyatapola Temple,Bhaktapur,Religious Sites,200,100,81,0.6918424713352256
37,Dattatreya Temple,Bhaktapur,Religious Sites,200,100,79,0.5888859700647797
38,Taleju Temple,Bhaktapur,Religious Sites,0,0,91,0.685297914889198
39,Siddhi Lakshmi Temple,Bhaktapur,Religious Sites,0,0,49,0.6245108790277986
40,Pottery Square,Bhaktapur,Cultural Sites,500,250,43,0.5975182385457564
41,55 Window Palace,Bhaktapur,Cultural Sites,0,0,44,0.5710164073434199
42,National Art Gallery,Bhaktapur,Cultural Sites,300,150,89,0.4431565707973218
43,Traditional Streets,Bhaktapur,Cultural Sites,500,250,61,0.6545641645055122
44,Peacock Window,Bhaktapur,Cultural Sites,0,0,61,0.678206434570451
45,Pottery Workshop,Bhaktapur,Activities,2778,1944,262,0.5266653415629146
46,Juju Dhau Tasting,Bhaktapur,Activities,1559,1091,132,0.3230939729486379
47,Heritage Photography,Bhaktapur,Activities,2222,1555,205,0.5641403517045773
48,Traditional Architecture Tour,Bhaktapur,Activities,2097,1467,253,0.43696037114487307
49,Woodcarving Workshop,Bhaktapur,Activities,2143,1500,163,0.42495298436110984
